t_survey_name,t_survey_edition,t_country_l1u,t_country_set,mean_hs,year,iso2c,iso3c,continent,obsValue
ISSP,2004,CA,1,91.50037002812083,2004,CA,CAN,Americas,84.313499
ISSP,2004,CH,1,39.915645849236,2005,CH,CHE,Europe,85.246902
ISSP,2004,CZ,1,41.27444863030878,2004,CZ,CZE,Europe,89.076393
ISSP,2004,DK,1,91.09026963657679,2005,DK,DNK,Europe,81.016785
ISSP,2004,ES,1,43.71584699453552,2004,ES,ESP,Europe,45.363956
ISSP,2004,FI,1,57.872817357632236,2004,FI,FIN,Europe,77.624962
ISSP,2004,FR,1,51.67306870538123,2004,FR,FRA,Europe,65.812172
ISSP,2004,HU,1,41.07976777299416,2004,HU,HUN,Europe,75.350082
ISSP,2004,IE,1,53.78682104461796,2003,IE,IRL,Europe,61.701839
ISSP,2004,IL,1,66.80327868852459,2005,IL,ISR,Asia,78.934875
ISSP,2004,KR,1,80.04032258064517,2004,KR,KOR,Asia,74.444145
ISSP,2004,LV,1,85.00727802037845,2004,LV,LVA,Europe,84.321693
ISSP,2004,MX,1,34.762456546929315,2006,MX,MEX,Americas,29.026882
ISSP,2004,NL,1,39.089227957053595,2005,NL,NLD,Europe,71.818947
ISSP,2004,PL,1,48.613052194805675,2005,PL,POL,Europe,85.112869
ISSP,2004,PT,1,25.335484461140155,2004,PT,PRT,Europe,25.156559
ISSP,2004,SE,1,50.15940488841658,2004,SE,SWE,Europe,82.94297
ISSP,2004,SI,1,52.972972972972975,2003,SI,SVN,Europe,78.13942
ISSP,2004,SK,1,46.56012936596575,2005,SK,SVK,Europe,87.869385
ISSP,2004,US,1,90.16364999080824,2004,US,USA,Americas,87.907784
ISSP,2006,AU,1,82.6844262295082,2007,AU,AUS,Oceania,68.183266
ISSP,2006,CA,1,91.9369897349565,2006,CA,CAN,Americas,85.542847
ISSP,2006,CH,1,34.296783297163785,2007,CH,CHE,Europe,85.957573
ISSP,2006,CZ,1,49.49689053707489,2006,CZ,CZE,Europe,90.279709
ISSP,2006,DK,1,91.28586609989372,2008,DK,DNK,Europe,73.796883
ISSP,2006,ES,1,45.16676088185416,2007,ES,ESP,Europe,50.641071
ISSP,2006,FI,1,55.959389798141515,2006,FI,FIN,Europe,79.636597
ISSP,2006,FR,1,52.988352931347684,2006,FR,FRA,Europe,67.428963
ISSP,2006,HU,1,42.015414943953466,2006,HU,HUN,Europe,78.073502
ISSP,2006,IE,1,61.76109657547354,2005,IE,IRL,Europe,64.533279
ISSP,2006,KR,1,83.76623376623377,2006,KR,KOR,Asia,76.661621
ISSP,2006,LV,1,88.20301783264746,2007,LV,LVA,Europe,84.635849
ISSP,2006,NL,1,60.25229194724635,2006,NL,NLD,Europe,72.365479
ISSP,2006,NO,1,79.43262411347519,2006,NO,NOR,Europe,78.896133
ISSP,2006,PL,1,51.67861244158528,2008,PL,POL,Europe,87.148956
ISSP,2006,PT,1,25.255466339254045,2006,PT,PRT,Europe,27.609612
ISSP,2006,SE,1,55.43981481481482,2006,SE,SWE,Europe,84.075623
ISSP,2006,SI,1,54.7112462006079,2006,SI,SVN,Europe,81.56337
ISSP,2006,US,1,86.8404123869717,2006,US,USA,Americas,87.796486
ISSP,2007,AT,1,53.07033511928996,2008,AT,AUT,Europe,80.879913
ISSP,2007,AU,1,78.46314688970205,2007,AU,AUS,Oceania,68.183266
ISSP,2007,CH,1,34.296783297163785,2007,CH,CHE,Europe,85.957573
ISSP,2007,CZ,1,41.77707277268191,2007,CZ,CZE,Europe,90.534775
ISSP,2007,FI,1,60.6071306207055,2007,FI,FIN,Europe,80.509682
ISSP,2007,FR,1,52.33489012117912,2007,FR,FRA,Europe,68.467201
ISSP,2007,HU,1,46.02751305965937,2007,HU,HUN,Europe,79.205826
ISSP,2007,IE,1,72.10315480756597,2008,IE,IRL,Europe,69.453362
ISSP,2007,KR,1,82.86516853932584,2007,KR,KOR,Asia,77.87188
ISSP,2007,LV,1,88.20301783264746,2007,LV,LVA,Europe,84.635849
ISSP,2007,MX,1,42.469597754911135,2008,MX,MEX,Americas,29.9081
ISSP,2007,NO,1,79.66292134831461,2007,NO,NOR,Europe,78.925552
ISSP,2007,PL,1,51.67861244158528,2008,PL,POL,Europe,87.148956
ISSP,2007,SE,1,52.991452991452995,2007,SE,SWE,Europe,84.588028
ISSP,2007,SI,1,54.7112462006079,2006,SI,SVN,Europe,81.56337
ISSP,2007,SK,1,48.81666182090795,2008,SK,SVK,Europe,89.933922
ISSP,2007,US,1,89.41021129015435,2008,US,USA,Americas,88.695656
ISSP,2008,AT,1,53.07033746017302,2008,AT,AUT,Europe,80.879913
ISSP,2008,AU,1,70.9325906293184,2010,AU,AUS,Oceania,73.20726
ISSP,2008,CH,1,37.574864912953295,2008,CH,CHE,Europe,86.807938
ISSP,2008,CZ,1,41.37870810196579,2008,CZ,CZE,Europe,90.903305
ISSP,2008,DK,1,91.43258426966293,2009,DK,DNK,Europe,74.755653
