idno,cntry,pspwght,polintr,nwspol,vote,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,pstplonl,eduyrs,eisced,isco08,domicil,agea,gndr,hincfel,hinctnta,hhmmb,female,city,age,age_10,hhsize5
1081,PL,0.71273535490036,1,2,2,1,1,1,1,1,1,1,1,11,2,6130,4,62,1,1,3,3,0,0,62,6.2,3
1088,PL,1.24533045291901,1,2,1,1,1,1,1,1,1,1,1,11,2,7112,4,41,1,2,,4,0,0,41,4.1,4
1089,PL,0.838874578475952,1,1,2,1,1,1,1,1,1,1,1,13,4,5245,4,34,2,2,5,3,1,0,34,3.4,3
1091,PL,1.2861305475235,1,2,2,1,1,1,1,1,1,1,1,17,7,2519,1,33,1,3,7,4,0,1,33,3.3,4
1093,PL,1.19209253787994,1,1,2,1,1,1,1,1,1,1,1,14,3,3331,3,62,2,2,5,2,1,0,62,6.2,2
1095,PL,1.10832893848419,1,2,2,2,1,2,2,1,2,1,2,19,7,1120,4,38,2,2,,1,1,0,38,3.8,1
1103,PL,1.03850924968719,1,1,,1,1,1,1,2,1,1,1,10,2,,3,17,1,3,,3,0,0,17,1.7,3
1122,PL,1.41695237159729,1,2,1,1,1,1,1,1,1,1,1,13,4,7121,3,32,1,3,7,3,0,0,32,3.2,3
1125,PL,0.923014223575592,1,2,2,1,1,1,1,1,1,1,1,9,2,6130,4,66,2,2,2,4,1,0,66,6.6,4
1127,PL,0.926723122596741,1,2,2,1,1,1,1,1,1,1,1,12,3,1420,1,69,2,2,4,2,1,1,69,6.9,2
1128,PL,1.06774234771729,1,2,2,1,1,1,1,1,1,1,2,15,4,8121,4,23,1,3,9,3,0,0,23,2.3,3
1131,PL,1.16951298713684,1,2,2,1,1,1,1,1,1,1,1,9,2,8114,4,28,1,1,4,10,0,0,28,2.8,5
1138,PL,0.71273535490036,1,2,1,1,1,1,1,1,1,1,1,11,2,7112,4,59,1,2,3,2,0,0,59,5.9,2
1148,PL,1.01523244380951,1,2,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
1156,PL,0.901012480258942,1,2,1,1,1,1,1,1,1,1,1,12,4,1420,4,48,2,2,5,3,1,0,48,4.8,3
1157,PL,0.944932341575623,1,2,2,1,1,1,1,1,1,1,1,7,2,9329,4,69,2,2,2,1,1,0,69,6.9,1
1162,PL,0.696559309959412,1,2,1,1,1,1,1,1,1,1,1,17,7,2341,3,26,2,2,4,3,1,0,26,2.6,3
1174,PL,1.00310325622559,1,2,1,2,1,2,1,2,1,2,1,19,7,2310,1,31,2,3,10,3,1,1,31,3.1,3
1188,PL,0.97851288318634,1,2,2,1,1,1,1,1,1,1,1,8,2,6130,4,63,1,2,,2,0,0,63,6.3,2
1191,PL,0.783815503120422,1,2,1,1,1,1,1,1,1,1,1,13,3,7124,4,21,1,3,6,6,0,0,21,2.1,5
1201,PL,0.93265688419342,1,1,2,1,1,1,1,1,1,1,1,11,2,6130,4,46,2,1,,3,1,0,46,4.6,3
1205,PL,1.07648515701294,1,1,1,1,1,1,1,1,1,1,1,12,2,7511,4,23,2,2,,4,1,0,23,2.3,4
1217,PL,1.02408194541931,1,2,1,1,1,1,1,1,1,1,1,12,2,7123,2,22,1,2,,5,0,1,22,2.2,5
1218,PL,1.07662391662598,1,1,,1,1,1,1,2,2,2,1,11,2,3423,4,18,2,2,7,4,1,0,18,1.8,4
1219,PL,1.03924715518951,1,2,2,1,1,1,1,1,1,1,1,10,3,4321,1,65,2,2,6,2,1,1,65,6.5,2
1225,PL,1.07648515701294,1,,2,1,1,1,1,1,1,1,1,,4,5223,4,21,2,2,8,2,1,0,21,2.1,2
1226,PL,0.865598320960999,1,2,2,1,1,1,1,1,1,1,1,14,4,5142,3,27,1,2,,1,0,0,27,2.7,1
1232,PL,0.931213974952698,1,2,2,1,1,1,1,1,1,1,1,14,2,7233,3,57,1,3,7,2,0,0,57,5.7,2
1249,PL,1.07267463207245,1,2,2,1,1,1,1,1,1,1,1,11,2,3122,3,45,1,2,7,5,0,0,45,4.5,5
1252,PL,0.934791266918182,1,2,2,1,1,1,1,1,1,1,1,11,2,4321,3,51,1,2,10,7,0,0,51,5.1,5
1254,PL,1.2887374162674,1,1,2,1,1,1,1,2,2,2,2,18,7,2142,3,33,2,3,5,4,1,0,33,3.3,4
1257,PL,0.632751703262329,1,1,2,1,1,1,1,1,1,1,1,17,6,2269,3,44,2,1,5,3,1,0,44,4.4,3
1263,PL,1.23958349227905,1,2,2,1,1,2,1,2,1,2,1,12,4,7318,3,40,2,2,8,4,1,0,40,4,4
1266,PL,0.971404254436493,1,2,2,1,1,1,1,1,1,1,1,11,2,5223,1,57,2,2,8,3,1,1,57,5.7,3
1271,PL,0.948779106140137,1,1,2,1,1,1,1,1,1,1,1,20,5,2342,4,34,2,2,4,3,1,0,34,3.4,3
1272,PL,1.15638613700867,1,1,2,1,1,1,1,2,2,2,1,18,7,2141,3,29,2,3,8,2,1,0,29,2.9,2
1273,PL,1.1518542766571,1,1,2,1,1,1,1,2,1,1,1,15,7,2413,3,45,2,1,,4,1,0,45,4.5,4
1274,PL,1.09291589260101,1,1,2,1,1,1,1,1,1,1,1,13,3,1412,1,36,1,2,4,3,0,1,36,3.6,3
1279,PL,0.797382175922394,1,1,2,1,1,1,1,1,1,1,1,13,4,7223,1,55,1,2,6,4,0,1,55,5.5,4
1281,PL,1.07648515701294,1,1,1,1,1,1,1,1,1,1,1,11,2,5223,4,34,2,2,,4,1,0,34,3.4,4
1288,PL,1.04265737533569,1,2,2,1,1,1,1,1,1,1,1,11,2,8131,1,62,2,0,1,1,1,1,62,6.2,1
1297,PL,0.784097135066986,1,1,1,1,1,1,1,1,1,1,1,15,6,4226,4,34,2,1,5,3,1,0,34,3.4,3
1308,PL,1.1111444234848,1,2,2,1,1,1,1,1,1,1,1,20,7,2431,3,44,2,2,10,4,1,0,44,4.4,4
